root_id,hemisphere,type,column_id,x,y,p,q
720575940605508320,left,Tm20,15,2,-3,-4,1
720575940605515296,left,Tm3,173,2,-25,-15,-10
720575940605519328,left,R8,530,-3,-13,-4,-9
720575940605521324,left,L4,94,5,18,4,14
720575940605523145,right,Tm4,392,-4,7,7,0
720575940605528166,right,T4d,45,-5,-1,4,-5
720575940605532006,left,T3,265,-6,-1,5,-6
720575940605533408,left,L4,551,-4,-9,-1,-8
720575940605535177,right,T5a,667,1,-28,-15,-13
720575940605535404,left,T4c,368,-4,-20,-6,-14
720575940605541822,right,L1,64,4,-23,-16,-7
720575940605544108,right,L4,619,-4,-19,-6,-13
