root_id,length_nm,area_nm,size_nm
720575940603730144,1124372,2410651392,189321799680
720575940603731168,1706610,2674775424,190809466880
720575940603739104,993613,1693837696,110438952960
720575940603744992,1505792,2721120896,176960409600
720575940603747360,923155,2041257344,165066598400
720575940603747616,696536,2116419456,181261312000
720575940603751782,759604,1402239872,92394567680
720575940603751857,1453731,2377502208,148558120960
720575940603761836,342116,605232512,40724357120
720575940603763680,509337,1260339968,87950950400
720575940603765280,3458062,8318825344,823459041280
720575940603765937,306437,971174528,65971271680
720575940603766374,1587043,2571583488,163011246080
720575940603767473,626291,1412170496,81035878400
720575940603767980,486813,666785152,43604439040
720575940603768497,42482,116077824,6423889920
720575940603773798,717634,1918664960,163929425920
720575940603776702,23558,55649024,2284544000
720575940603784620,420286,542642048,31503708160
720575940603786686,1067778,2219420928,133803642880
720575940603789228,661496,1758810240,104026214400
720575940603792352,2543250,4649536768,260862535680
720575940603792486,248195,425859456,19977994240
720575940603795116,1628357,2668129792,169726863360
720575940603797420,457145,792847488,53290926080
720575940603801056,813540,2487015168,267165091840
720575940603804350,4325786,8748349440,792968325120
720575940603804704,808080,1498123520,98222991360
720575940603807422,578315,863403392,60385904640
720575940603809452,474386,654553856,40694763520
720575940603814060,791946,1794030976,96579614720
720575940603817900,2569824,3505888384,188643553280
720575940603818464,332576,548912768,40179486720
720575940603820716,480253,1401171584,90300764160
720575940603821792,332713,734227328,56959488000
720575940603823136,550264,817210752,46193571840
720575940603823462,1999151,4569397248,384644280320
720575940603825120,3414397,5593497984,297288642560
720575940603827633,1863200,3260564608,197108633600
720575940603828704,402116,688076160,34218096640
720575940603829950,1450574,2752219008,243065999360
720575940603832288,418029,914495232,51241062400
720575940603839753,1005760,1575879552,102950533120
720575940603841964,522569,930458624,64109117440
720575940603842476,457078,776625792,52568012800
720575940603842988,925587,1507861120,93730232320
720575940603844017,398525,630706944,42946222080
720575940603851180,286030,842717056,87308584960
720575940603853090,498596,947104256,64194693120
720575940603853792,2181306,3577541888,226578268160
720575940603854182,1299428,2475019136,166198046720
720575940603856352,3141672,4780636544,264165642240
720575940603859372,395963,608842752,41449297920
720575940603860000,1251654,2311210240,164678645760
720575940603870380,1360289,2551828736,202444349440
720575940603870688,149093,329863424,19789854720
720575940603871404,445200,1079289088,57253345280
720575940603873033,377196,659264384,51545518080
720575940603873452,287256,502398720,34784010240
