Mi1,X,Y,Z,side,azimuth,elevation,radius,lattice_p,lattice_q,lattice_azi,lattice_elev,left_eye,lattice_p_corrected,lattice_q_corrected,azimuth_corrected,elevation_corrected,retinal_azi,DRA_paths,X_rot,Y_rot,Z_rot,lattice_p_rot,lattice_q_rot,position_x,position_y,position_z,optical_x,optical_y,optical_z,retinal_row,retinal_col,normal_x,normal_y,normal_z,skew_angle,binocular_angle,binocular
720575940628167848,265184.38066465256,308803.6918429003,266266.28398791543,left,0.4715382600302018,1.0926683777680823,121553.13497983852,-11.0,4.0,0.454414118790372,1.1048156203739277,True,-11.0,4.0,-0.454414118790372,1.1048156203739277,-0.454414118790372,0.0,-18098.614726423177,-253995.155158675,-36825.240790798445,-11.0,4.0,250.73314412047716,241.0431577687317,-70.56322858065745,0.4755242705706534,-0.030996466370543773,-0.07789927301265391,-4.287,-15.91,0.9939192034257339,0.10547157571140299,-0.031628527921932076,0.21416492915922716,0.8624781292463015,True
720575940628177738,756520.7881619937,295580.523364486,153190.3738317757,right,0.1406086367159107,1.4911947103269834,131102.3520313561,1.0,-4.0,0.1406086367159111,1.4911947103269838,False,1.0,-4.0,-0.1406086367159111,1.4911947103269838,-0.1406086367159111,0.0,104558.17190630364,234273.50135436072,-6468.845508585704,1.0,-4.0,63.387883150774535,-431.7187026336928,-30.215478893301274,0.07625417352646459,-0.47577729823186343,-0.016463979685440843,-1.837,5.303,0.24798574589500572,-0.9647001642479909,0.08863781886304123,0.15388653140022154,71.59814788709264,False
720575940628191228,289411.2818371608,179700.62212943632,231236.8267223382,left,0.3847427163149371,2.3123815139941213,115186.5279298904,12.0,13.0,0.3691382886497692,2.29063346978523,True,12.0,13.0,-0.3691382886497692,2.29063346978523,-0.3691382886497692,0.0,37283.62209850916,-239586.56099561197,86490.64822880103,12.0,13.0,78.70418080010315,290.9548458892441,183.06749374311013,0.11096235992583525,0.09573929423632302,0.45899668172809865,15.309,-1.061,0.3799539832210924,0.4415944708086432,0.812791051861215,0.31907295604134484,10.479953454262231,False
720575940628195431,255313.22406639007,236278.34439834024,254500.78838174275,left,0.5357810175236019,1.7178385015347228,118140.0351425948,0.0,11.0,0.5192607898982462,1.7125339517020914,True,0.0,11.0,-0.5192607898982462,1.7125339517020914,-0.5192607898982462,0.0,4773.89788403928,-269265.3683534895,32018.505455825816,0.0,11.0,208.82142544801164,266.7819500483931,84.16617477732599,0.44678233449456295,0.03342693881130014,0.18789015020640368,6.736,-11.667,0.8031160257376966,0.3559982092670026,0.47777601886446236,0.3244413200602935,1.1601801396078808,True
720575940628196908,776737.8566149297,282562.1019955654,172829.59349593494,right,-0.086867611838633,1.5608386929618587,130799.58942394536,0.0,1.0,-0.0868676118386328,1.5608386929618587,False,0.0,1.0,0.0868676118386328,1.5608386929618587,0.0868676118386328,0.0,87588.02358354513,253604.15728502846,10916.432975818436,0.0,1.0,135.53782694003476,-392.33391972504353,3.665722050533371,0.29627039589625437,-0.3802640219544178,0.025798329420277682,0.612,-1.061,0.5868389959177125,-0.7956913450638611,0.14998425337599566,0.10057545614729158,42.441587816788406,False
720575940628202796,330778.2316145393,282808.0405748098,161036.14539306847,left,-0.5840674552031614,1.5250263310596353,121830.95901820045,3.0,-10.0,-0.5660673707974369,1.5266150818030555,True,3.0,-10.0,0.5660673707974369,1.5266150818030555,0.5660673707974369,0.0,91088.5555085122,-191190.77515626032,-23206.101883423944,3.0,-10.0,-51.15969925920532,427.7784517670082,-54.2049913100475,-0.2918064963199688,0.37253269737248773,-0.08267847985399919,-4.287,13.789,-0.3538015392374285,0.9095282477120479,-0.21813490653051898,0.2915824629537214,73.74155588035765,False
720575940628271626,281498.92558139534,317372.0372093024,249344.74418604653,left,0.2538516369243971,1.0169041281798048,114470.8333954344,-12.0,0.0,0.2428319726116857,1.0336009504474255,True,-12.0,0.0,-0.2428319726116857,1.0336009504474255,-0.2428319726116857,0.0,-2446.1160401959423,-237204.79110517362,-46775.23512512541,-12.0,0.0,236.09922457667227,278.77676302094403,-113.93728406964183,0.4611416665144655,0.027688825000154994,-0.1544568736927185,-7.348,-12.728,0.917151908293881,0.36388968147683737,-0.16253207937997433,0.3467533095957751,1.0745275013883377,True
720575940628273468,779180.3434753212,291674.00676132523,178218.14739688975,right,-0.1200873686648543,1.484863720904774,131196.96207619322,-2.0,1.0,-0.1200873686648539,1.484863720904774,False,-2.0,1.0,0.1200873686648539,1.484863720904774,0.1200873686648539,0.0,80875.43113569554,256747.39156434414,2973.496203983712,-2.0,1.0,158.5565949531897,-378.63950791495057,-15.3612552271081,0.3614104796700516,-0.3301724332200306,-0.004579331601563648,-0.612,-3.182,0.6309090200020537,-0.7593561545162899,0.15916041932051034,0.2175245472630699,33.308932600261855,False
720575940628290618,778955.9694915254,254599.7966101695,175247.18644067796,right,-0.1448752020992524,1.7686022964184405,130861.52144151468,4.0,4.0,-0.1448752020992524,1.7686022964184405,False,4.0,4.0,0.1448752020992524,1.7686022964184405,0.1448752020992524,0.0,89650.39104867999,253769.86096829746,38994.44012686169,4.0,4.0,115.3059020524356,-384.6986044317694,65.711211775689,0.22887553452988763,-0.38825855197781045,0.1618706043072452,4.899,0.0,0.49306590792163973,-0.7704055453727342,0.4041797942801559,0.07898108947557317,47.47549464451343,False
720575940628293648,289581.07547169813,312816.62533692725,223402.61455525603,left,0.0032634321783901,1.1193194751301452,113679.41848599246,-9.0,-3.0,0.0024291175619853,1.134013162713409,True,-9.0,-3.0,-0.0024291175619853,1.134013162713409,-0.0024291175619853,0.0,24032.322443872108,-229651.44387972963,-45823.26081121879,-9.0,-3.0,188.41594828632762,351.8999336408193,-111.6134308878685,0.4130943312674904,0.21194784775972406,-0.14751746269291072,-7.348,-6.364,0.678769954031846,0.7005834786249281,-0.2201230087505639,0.32697143408411045,20.753454178011093,False
